            moyr  dy cmsd        
            1075   1    -0.48
            1075   2    -0.88
            1075   3    -0.65
            1075   4     0.93
            1075   5    -0.93
            1075   6    -0.54
            1075   7     0.03
            1075   8    -0.79
            1075   9     2.01
            1075  10     1.02
            1075  11     0.88
            1075  12     0.68
            1075  13    -0.62
            1075  14     0.51
            1075  15     0.03
            1075  16     0.23
            1075  17     0.20
            1075  18     0.76
            1075  19     0.11
            1075  20     0.42
            1075  21     0.62
            1075  22    -0.03
            1075  23     0.00
            1075  24    -0.40
            1075  25     3.85
            1075  26     2.07
            1075  27     0.59
            1075  28     0.25
            1075  29     1.05
            1075  30     1.27
            1075  31     0.68
            1175   1    -0.08
            1175   2     0.79
            1175   3     0.14
            1175   4     0.71
            1175   5     0.23
            1175   6     0.62
            1175   7     1.02
            1175   8     0.88
            1175   9    -0.14
            1175  10     1.16
            1175  11     0.71
            1175  12     0.34
            1175  13     0.79
            1175  14     0.28
            1175  15     6.68
            1175  16     2.01
            1175  17     0.91
            1175  18     0.65
            1175  19     0.31
            1175  20     0.17
            1175  21     1.02
            1175  22    -0.40
            1175  23     0.48
            1175  24     1.08
            1175  25    -0.37
            1175  26     1.50
            1175  27    -0.57
            1175  28    -0.23
            1175  29    -0.40
            1175  30     2.04
            1275   1     0.99
            1275   2    -0.11
            1275   3     0.59
            1275   4     2.24
            1275   5    12.66
            1275   6     1.61
            1275   7     1.90
            1275   8     2.24
            1275   9     0.06
            1275  10     0.42
            1275  11     1.50
            1275  12     0.17
            1275  13     0.68
            1275  14     0.25
            1275  15     0.31
            1275  16     0.20
            1275  17     0.62
            1275  18     0.48
            1275  19    -0.08
            1275  20     0.76
            1275  21     1.19
            1275  22     0.91
            1275  23     0.82
            1275  24     0.23
            1275  25     0.79
            1275  26     0.82
            1275  27    -0.59
            1275  28     1.22
            1275  29     0.51
            1275  30     0.11
            1275  31     0.25
             176   1     1.25
             176   2    -0.40
             176   3    -0.48
             176   4     0.45
             176   5     1.61
             176   6     2.10
             176   7    -0.03
             176   8     0.06
             176   9     1.22
             176  10     2.94
             176  11     1.10
             176  12     1.13
             176  13     0.88
             176  14     0.96
             176  15     0.79
             176  16     0.93
             176  17     0.65
             176  18     1.53
             176  19     0.96
             176  20     1.33
             176  21     0.11
             176  22     0.71
             176  23     0.28
             176  24     1.42
             176  25    -0.14
             176  26     0.62
             176  27     0.34
             176  28     0.59
             176  29     0.79
             176  30     1.10
             176  31     0.25
             276   1     0.88
             276   2     0.42
             276   3     0.48
             276   4     0.76
             276   5     0.45
             276   6     0.82
             276   7     0.45
             276   8     0.14
             276   9     0.59
             276  10     0.23
             276  11     0.71
             276  12     0.93
             276  13     1.70
             276  14     1.08
             276  15     0.65
             276  16     3.28
             276  17     2.75
             276  18     1.93
             276  19     5.75
             276  20     3.31
             276  21     2.52
             276  22     0.54
             276  23     1.10
             276  24     0.57
             276  25    15.94
             276  26    30.55
             276  27    23.81
             276  28    24.32
             276  29    22.77
             376   1    15.80
             376   2    23.53
             376   3    12.80
             376   4     6.17
             376   5     4.25
             376   6     2.58
             376   7     2.52
             376   8     1.73
             376   9     2.86
             376  10     1.84
             376  11     1.93
             376  12     1.27
             376  13     1.39
             376  14     1.70
             376  15     1.61
             376  16     1.13
             376  17     0.91
             376  18     1.61
             376  19     0.82
             376  20     1.27
             376  21     1.13
             376  22     1.22
             376  23    -0.48
             376  24     0.91
             376  25     0.85
             376  26     0.68
             376  27     0.59
             376  28     0.71
             376  29     0.71
             376  30     2.44
             376  31     0.37
             476   1     0.88
             476   2     0.59
             476   3     0.54
             476   4     0.88
             476   5     0.71
             476   6     0.88
             476   7     4.02
             476   8     6.65
             476   9     2.49
             476  10     8.92
             476  11     7.39
             476  12     6.48
             476  13     4.22
             476  14     2.97
             476  15     1.39
             476  16     1.81
             476  17     1.67
             476  18     1.39
             476  19     1.67
             476  20     1.59
             476  21     0.96
             476  22     1.56
             476  23     0.54
             476  24     0.96
             476  25     1.08
             476  26     1.27
             476  27     0.76
             476  28     0.48
             476  29     0.79
             476  30     0.93
             576   1     0.62
             576   2     0.82
             576   3     1.10
             576   4     0.31
             576   5     1.02
             576   6     0.82
             576   7     1.25
             576   8     0.91
             576   9     0.68
             576  10     0.71
             576  11     0.65
             576  12     1.61
             576  13    -0.03
             576  14    -0.23
             576  15     0.31
             576  16     0.03
             576  17    -0.11
             576  18     0.76
             576  19     0.48
             576  20     0.45
             576  21     0.62
             576  22     0.45
             576  23     0.59
             576  24    -0.76
             576  25     0.82
             576  26     0.96
             576  27     0.28
             576  28     0.59
             576  29     0.37
             576  30     0.20
             576  31     0.51
             676   1    -1.10
             676   2     0.82
             676   3    -0.91
             676   4     0.45
             676   5    -1.08
             676   6    -0.14
             676   7    -0.96
             676   8     0.14
             676   9    -0.96
             676  10     0.82
             676  11     1.16
             676  12     0.28
             676  13     0.00
             676  14     0.82
             676  15    -0.17
             676  16     0.03
             676  17     0.28
             676  18    -0.25
             676  19    -0.54
             676  20     0.74
             676  21    -0.48
             676  22    -0.23
             676  23     0.51
             676  24    -0.23
             676  25    -0.37
             676  26    -0.74
             676  27    -0.31
             676  28    -0.34
             676  29    -1.39
             676  30    -1.47
             776   1    -0.68
             776   2     0.23
             776   3    -1.27
             776   4    -0.06
             776   5    -0.62
             776   6    -0.71
             776   7    -0.96
             776   8    -0.31
             776   9    -0.08
             776  10    -0.76
             776  11    -1.10
             776  12    -0.06
             776  13    -0.06
             776  14    -0.48
             776  15    -0.65
             776  16    -1.87
             776  17    -1.02
             776  18     1.13
             776  19     0.54
             776  20    -0.08
             776  21     0.20
             776  22    -0.11
             776  23     0.37
             776  24     1.33
             776  25     0.57
             776  26     2.10
             776  27    -0.51
             776  28    -0.74
             776  29    -0.34
             776  30    -1.10
             776  31     0.28
             876   1     0.03
             876   2     0.00
             876   3     0.20
             876   4     1.27
             876   5     1.27
             876   6     1.27
             876   7    -0.31
             876   8     0.91
             876   9    -0.25
             876  10     0.48
             876  11    -0.08
             876  12     0.25
             876  13    -0.11
             876  14     0.14
             876  15     0.91
             876  16     0.51
             876  17     0.59
             876  18     2.04
             876  19    -0.20
             876  20     1.02
             876  21     0.03
             876  22     0.54
             876  23     0.68
             876  24     0.45
             876  25     0.37
             876  26     0.23
             876  27     0.17
             876  28     0.54
             876  29     0.76
             876  30     0.08
             876  31     0.11
             976   1    -0.23
             976   2     0.11
             976   3    -0.25
             976   4     0.34
             976   5    -1.16
             976   6     0.54
             976   7     0.17
             976   8    -0.17
             976   9    -0.03
             976  10     1.98
             976  11    -0.40
             976  12     2.04
             976  13     0.40
             976  14    -0.28
             976  15     0.25
             976  16    -1.13
             976  17     0.71
             976  18     0.93
             976  19     0.17
             976  20     0.79
             976  21     0.42
             976  22     0.68
             976  23     0.65
             976  24     1.59
             976  25    -0.62
             976  26     0.93
             976  27     0.88
             976  28     0.08
             976  29     0.51
             976  30     1.16
            1076   1     0.68
            1076   2     0.11
            1076   3     0.00
            1076   4     0.59
            1076   5     0.62
            1076   6     0.85
            1076   7     0.62
            1076   8     1.10
            1076   9     0.74
            1076  10     0.88
            1076  11     0.40
            1076  12     0.82
            1076  13     0.28
            1076  14     1.02
            1076  15     0.71
            1076  16     0.82
            1076  17     0.31
            1076  18     0.65
            1076  19     0.93
            1076  20     0.54
            1076  21     0.59
            1076  22    -0.23
            1076  23     1.56
            1076  24    -0.06
            1076  25     1.19
            1076  26     0.85
            1076  27     0.59
            1076  28     0.74
            1076  29     0.79
            1076  30    -0.14
            1076  31     1.16
            1176   1     0.93
            1176   2     0.51
            1176   3     0.62
            1176   4     0.48
            1176   5     0.40
            1176   6     0.34
            1176   7     1.16
            1176   8     0.74
            1176   9     0.11
            1176  10     0.82
            1176  11     2.07
            1176  12     1.02
            1176  13     0.99
            1176  14     1.95
            1176  15     1.05
            1176  16     0.48
            1176  17     0.96
            1176  18     0.65
            1176  19     0.76
            1176  20    -0.57
            1176  21     1.13
            1176  22     0.59
            1176  23     0.48
            1176  24     0.59
            1176  25     0.23
            1176  26     0.96
            1176  27    -0.54
            1176  28     0.85
            1176  29     0.14
            1176  30     0.54
            1276   1     0.28
            1276   2     0.23
            1276   3     0.11
            1276   4     1.05
            1276   5     0.68
            1276   6     0.48
            1276   7     1.27
            1276   8     0.79
            1276   9     0.65
            1276  10     0.62
            1276  11     0.42
            1276  12     0.68
            1276  13     0.42
            1276  14     0.42
            1276  15     0.51
            1276  16     0.68
            1276  17    -0.11
            1276  18     0.31
            1276  19     0.85
            1276  20     0.34
            1276  21     0.28
            1276  22     0.59
            1276  23    -0.11
            1276  24     0.65
            1276  25     0.74
            1276  26    -0.40
            1276  27     0.68
            1276  28     0.00
            1276  29     1.42
            1276  30     0.71
            1276  31     0.51
             177   1     1.27
             177   2     2.92
             177   3     1.61
             177   4     0.62
             177   5     0.62
             177   6     0.74
             177   7    -0.51
             177   8     1.53
             177   9    -0.14
             177  10     0.00
             177  11     0.99
             177  12     0.45
             177  13     0.91
             177  14    -0.42
             177  15     0.20
             177  16     0.88
             177  17     0.71
             177  18     0.62
             177  19     0.59
             177  20     0.45
             177  21     1.02
             177  22     0.11
             177  23     0.37
             177  24     0.51
             177  25     0.23
             177  26     0.31
             177  27     0.25
             177  28     1.16
             177  29    -0.08
             177  30     0.23
             177  31     0.34
             277   1     0.86
             277   2     0.12
             277   3     0.57
             277   4     0.20
             277   5     0.33
             277   6     0.29
             277   7     0.08
             277   8     1.78
             277   9     0.43
             277  10     0.40
             277  11     0.36
             277  12     0.25
             277  13     0.50
             277  14     0.45
             277  15     0.21
             277  16     0.33
             277  17     0.48
             277  18     1.07
             277  19     1.27
             277  20     1.13
             277  21    -0.03
             277  22     1.27
             277  23     1.50
             277  24     0.82
             277  25     0.28
             277  26     0.45
             277  27     0.63
             277  28     0.37
             377   1     0.42
             377   2     0.46
             377   3     0.46
             377   4     0.59
             377   5     0.36
             377   6     0.39
             377   7     0.38
             377   8     0.28
             377   9     1.05
             377  10     0.00
             377  11     0.42
             377  12     0.65
             377  13     0.45
             377  14     0.31
             377  15     2.61
             377  16     2.58
             377  17     0.74
             377  18     0.71
             377  19     0.57
             377  20     0.99
             377  21     0.62
             377  22     0.88
             377  23     0.68
             377  24     3.88
             377  25     0.85
             377  26     0.57
             377  27     0.79
             377  28    -0.11
             377  29     0.76
             377  30     0.34
             377  31     0.25
             477   1     0.45
             477   2     0.42
             477   3     0.72
             477   4     0.28
             477   5     0.65
             477   6     0.52
             477   7     0.54
             477   8     0.39
             477   9     0.20
             477  10     0.27
             477  11     0.60
             477  12     0.65
             477  13     0.08
             477  14     0.32
             477  15     0.25
             477  16     0.25
             477  17     0.21
             477  18     0.16
             477  19     0.50
             477  20     0.41
             477  21    -0.10
             477  22    -0.05
             477  23     0.48
             477  24     1.01
             477  25     0.02
             477  26    -0.09
             477  27    -0.05
             477  28     0.17
             477  29    -0.11
             477  30     0.23
             577   1     0.37
             577   2    -0.34
             577   3     0.23
             577   4    -0.45
             577   5     0.08
             577   6    -0.37
             577   7    -0.37
             577   8    -0.11
             577   9     0.82
             577  10     0.71
             577  11     0.88
             577  12     0.99
             577  13     0.30
             577  14     0.59
             577  15     0.55
             577  16     0.31
             577  17     0.76
             577  18     0.75
             577  19     0.76
             577  20     0.40
             577  21     0.72
             577  22     0.76
             577  23     0.63
             577  24     0.28
             577  25     0.55
             577  26     0.85
             577  27     0.93
             577  28     0.74
             577  29     0.82
             577  30     0.76
             577  31     1.30
             677   1     0.48
             677   2     0.80
             677   3     1.22
             677   4     1.35
             677   5     1.31
             677   6    -0.02
             677   7     0.38
             677   8     0.61
             677   9    -0.57
             677  10     0.20
             677  11    -0.37
             677  12    -0.31
             677  13    -0.08
             677  14    -0.51
             677  15    -0.03
             677  16     0.20
             677  17    -0.20
             677  18    -0.20
             677  19    -0.45
             677  20    -0.37
             677  21     0.40
             677  22    -0.31
             677  23    -0.08
             677  24     1.22
             677  25    -0.71
             677  26    -0.03
             677  27    -0.25
             677  28    -0.62
             677  29    -0.28
             677  30    -0.45
             777   1    -0.45
             777   2    -0.51
             777   3    -0.48
             777   4    -0.54
             777   5     0.23
             777   6    -0.25
             777   7    -0.34
             777   8    -0.28
             777   9    -0.20
             777  10    -0.23
             777  11    -0.28
             777  12    -0.57
             777  13    -0.37
             777  14    -0.65
             777  15    -0.62
             777  16    -0.68
             777  17    -0.68
             777  18    -0.71
             777  19    -0.59
             777  20    -0.51
             777  21    -0.71
             777  22    -0.59
             777  23    -0.54
             777  24    -0.57
             777  25    -0.76
             777  26    -0.28
             777  27    -0.28
             777  28    -0.62
             777  29    -0.40
             777  30    -0.48
             777  31    -0.42
             877   1    -0.85
             877   2    -0.28
             877   3    -0.65
             877   4    -0.40
             877   5    -0.71
             877   6    -0.65
             877   7    -0.82
             877   8    -0.48
             877   9    -0.57
             877  10    -0.42
             877  11    -0.37
             877  12    -0.28
             877  13    -0.28
             877  14    -0.31
             877  15    -0.23
             877  16     0.08
             877  17     0.14
             877  18     0.03
             877  19     0.20
             877  20     0.17
             877  21     0.08
             877  22     0.06
             877  23    -0.11
             877  24     0.06
             877  25     0.25
             877  26     0.06
             877  27     0.31
             877  28     0.74
             877  29     0.74
             877  30     0.99
             877  31     0.88
             977   1     0.87
             977   2     1.01
             977   3     0.87
             977   4     0.94
             977   5     1.04
             977   6     0.79
             977   7     0.76
             977   8     0.93
             977   9     0.96
             977  10     0.96
