NWS5ID      moyr  dy cfsd
LAMC1       1058   1      278
LAMC1       1058   2      275
LAMC1       1058   3      264
LAMC1       1058   4      283
LAMC1       1058   5      309
LAMC1       1058   6      303
LAMC1       1058   7      295
LAMC1       1058   8      229
LAMC1       1058   9      211
LAMC1       1058  10      214
LAMC1       1058  11      194
LAMC1       1058  12      196
LAMC1       1058  13      214
LAMC1       1058  14      222
LAMC1       1058  15      219
LAMC1       1058  16      219
LAMC1       1058  17      309
LAMC1       1058  18      321
LAMC1       1058  19      318
LAMC1       1058  20      315
LAMC1       1058  21      315
LAMC1       1058  22      312
LAMC1       1058  23      312
LAMC1       1058  24      315
LAMC1       1058  25      315
LAMC1       1058  26      303
LAMC1       1058  27      300
LAMC1       1058  28      318
LAMC1       1058  29      315
LAMC1       1058  30      312
LAMC1       1058  31      315
LAMC1       1158   1      315
LAMC1       1158   2      315
LAMC1       1158   3      315
LAMC1       1158   4      312
LAMC1       1158   5      315
LAMC1       1158   6      330
LAMC1       1158   7      330
LAMC1       1158   8      326
LAMC1       1158   9      330
LAMC1       1158  10      327
LAMC1       1158  11      312
LAMC1       1158  12      269
LAMC1       1158  13      332
LAMC1       1158  14      240
LAMC1       1158  15      236
LAMC1       1158  16      225
LAMC1       1158  17      228
LAMC1       1158  18      329
LAMC1       1158  19      107
LAMC1       1158  20      194
LAMC1       1158  21      157
LAMC1       1158  22      181
LAMC1       1158  23      219
LAMC1       1158  24       79
LAMC1       1158  25      111
LAMC1       1158  26      191
LAMC1       1158  27      222
LAMC1       1158  28      180
LAMC1       1158  29      182
LAMC1       1158  30      198
LAMC1       1258   1      202
LAMC1       1258   2      202
LAMC1       1258   3      204
LAMC1       1258   4      171
LAMC1       1258   5      138
LAMC1       1258   6       29
LAMC1       1258   7       80
LAMC1       1258   8       80
LAMC1       1258   9       94
LAMC1       1258  10       85
LAMC1       1258  11      104
LAMC1       1258  12      110
LAMC1       1258  13       88
LAMC1       1258  14       88
LAMC1       1258  15       88
LAMC1       1258  16       88
LAMC1       1258  17       88
LAMC1       1258  18       93
LAMC1       1258  19       94
LAMC1       1258  20       96
LAMC1       1258  21      102
LAMC1       1258  22       99
LAMC1       1258  23       99
LAMC1       1258  24       91
LAMC1       1258  25      108
LAMC1       1258  26      105
LAMC1       1258  27      231
LAMC1       1258  28      179
LAMC1       1258  29      139
LAMC1       1258  30      128
LAMC1       1258  31      116
LAMC1       0159   1      109
LAMC1       0159   2      101
LAMC1       0159   3      110
LAMC1       0159   4      110
LAMC1       0159   5      207
LAMC1       0159   6     1318
LAMC1       0159   7      370
LAMC1       0159   8      588
LAMC1       0159   9     1623
LAMC1       0159  10      922
LAMC1       0159  11      841
LAMC1       0159  12     1841
LAMC1       0159  13      539
LAMC1       0159  14      400
LAMC1       0159  15      408
LAMC1       0159  16      374
LAMC1       0159  17      365
LAMC1       0159  18      366
LAMC1       0159  19      356
LAMC1       0159  20      347
LAMC1       0159  21      344
LAMC1       0159  22      339
LAMC1       0159  23      359
LAMC1       0159  24      673
LAMC1       0159  25      881
LAMC1       0159  26      568
LAMC1       0159  27      821
LAMC1       0159  28      691
LAMC1       0159  29      492
LAMC1       0159  30      448
LAMC1       0159  31      421
LAMC1       0259   1      382
LAMC1       0259   2      365
LAMC1       0259   3      357
LAMC1       0259   4      362
LAMC1       0259   5      364
LAMC1       0259   6      329
LAMC1       0259   7      352
LAMC1       0259   8      361
LAMC1       0259   9      381
LAMC1       0259  10     1362
LAMC1       0259  11      690
LAMC1       0259  12      483
LAMC1       0259  13      443
LAMC1       0259  14     1838
LAMC1       0259  15     1906
LAMC1       0259  16     2676
LAMC1       0259  17     1549
LAMC1       0259  18     1558
LAMC1       0259  19     1000
LAMC1       0259  20     1375
LAMC1       0259  21      852
LAMC1       0259  22      644
LAMC1       0259  23      563
LAMC1       0259  24      455
LAMC1       0259  25      541
LAMC1       0259  26      410
LAMC1       0259  27      431
LAMC1       0259  28      406
LAMC1       0359   1      398
LAMC1       0359   2      389
LAMC1       0359   3      388
LAMC1       0359   4      414
LAMC1       0359   5      328
LAMC1       0359   6      381
LAMC1       0359   7      358
LAMC1       0359   8      358
LAMC1       0359   9      353
LAMC1       0359  10      360
LAMC1       0359  11      357
LAMC1       0359  12      342
LAMC1       0359  13      341
LAMC1       0359  14      337
LAMC1       0359  15      354
LAMC1       0359  16      355
LAMC1       0359  17      337
LAMC1       0359  18      339
LAMC1       0359  19      339
LAMC1       0359  20      339
LAMC1       0359  21      345
LAMC1       0359  22      362
LAMC1       0359  23      393
LAMC1       0359  24      289
LAMC1       0359  25      286
LAMC1       0359  26      289
LAMC1       0359  27      278
LAMC1       0359  28      248
LAMC1       0359  29      288
LAMC1       0359  30      462
LAMC1       0359  31      357
LAMC1       0459   1      290
LAMC1       0459   2      276
LAMC1       0459   3      271
LAMC1       0459   4      259
LAMC1       0459   5      254
LAMC1       0459   6      253
LAMC1       0459   7      256
LAMC1       0459   8      236
LAMC1       0459   9      238
LAMC1       0459  10      202
LAMC1       0459  11      228
LAMC1       0459  12      214
LAMC1       0459  13      194
LAMC1       0459  14      171
LAMC1       0459  15      196
LAMC1       0459  16      175
LAMC1       0459  17      180
LAMC1       0459  18      100
LAMC1       0459  19      110
LAMC1       0459  20       67
LAMC1       0459  21       61
LAMC1       0459  22       51
LAMC1       0459  23       89
LAMC1       0459  24       53
LAMC1       0459  25       91
LAMC1       0459  26       91
LAMC1       0459  27      103
LAMC1       0459  28      108
LAMC1       0459  29      110
LAMC1       0459  30      100
LAMC1       0559   1       92
LAMC1       0559   2       91
LAMC1       0559   3      103
LAMC1       0559   4       98
LAMC1       0559   5      103
LAMC1       0559   6       90
LAMC1       0559   7       75
LAMC1       0559   8       46
LAMC1       0559   9       82
LAMC1       0559  10       82
LAMC1       0559  11       87
LAMC1       0559  12       44
LAMC1       0559  13       70
LAMC1       0559  14       80
LAMC1       0559  15       85
LAMC1       0559  16       90
LAMC1       0559  17       80
LAMC1       0559  18       57
LAMC1       0559  19       88
LAMC1       0559  20       47
LAMC1       0559  21       78
LAMC1       0559  22       78
LAMC1       0559  23       62
LAMC1       0559  24       52
LAMC1       0559  25       88
LAMC1       0559  26       32
LAMC1       0559  27       66
LAMC1       0559  28       79
LAMC1       0559  29       74
LAMC1       0559  30       67
LAMC1       0559  31       21
LAMC1       0659   1       92
LAMC1       0659   2       55
LAMC1       0659   3       73
LAMC1       0659   4       63
LAMC1       0659   5       85
LAMC1       0659   6      264
LAMC1       0659   7      269
LAMC1       0659   8      248
LAMC1       0659   9      270
LAMC1       0659  10      275
LAMC1       0659  11      280
LAMC1       0659  12      261
LAMC1       0659  13      281
LAMC1       0659  14      281
LAMC1       0659  15      266
LAMC1       0659  16      266
LAMC1       0659  17      275
LAMC1       0659  18      280
LAMC1       0659  19      265
LAMC1       0659  20      295
LAMC1       0659  21      285
LAMC1       0659  22      267
LAMC1       0659  23      262
LAMC1       0659  24      257
LAMC1       0659  25      254
LAMC1       0659  26      263
LAMC1       0659  27      261
LAMC1       0659  28      258
LAMC1       0659  29      287
LAMC1       0659  30      347
LAMC1       0759   1      297
LAMC1       0759   2      220
LAMC1       0759   3      350
LAMC1       0759   4      300
LAMC1       0759   5      247
LAMC1       0759   6      259
LAMC1       0759   7      314
LAMC1       0759   8      297
LAMC1       0759   9      344
LAMC1       0759  10      288
LAMC1       0759  11      284
LAMC1       0759  12      222
LAMC1       0759  13      287
LAMC1       0759  14      234
LAMC1       0759  15      297
LAMC1       0759  16      273
LAMC1       0759  17      321
LAMC1       0759  18      192
LAMC1       0759  19      274
LAMC1       0759  20      273
LAMC1       0759  21      208
LAMC1       0759  22      287
LAMC1       0759  23      284
LAMC1       0759  24      326
LAMC1       0759  25      287
LAMC1       0759  26      298
LAMC1       0759  27      257
LAMC1       0759  28      272
LAMC1       0759  29      230
LAMC1       0759  30      245
LAMC1       0759  31      249
LAMC1       0859   1      201
LAMC1       0859   2      336
LAMC1       0859   3      254
LAMC1       0859   4      249
LAMC1       0859   5      315
LAMC1       0859   6      302
LAMC1       0859   7      322
LAMC1       0859   8      266
LAMC1       0859   9      293
LAMC1       0859  10      242
LAMC1       0859  11      221
LAMC1       0859  12      228
LAMC1       0859  13      283
LAMC1       0859  14      279
LAMC1       0859  15      262
LAMC1       0859  16      280
LAMC1       0859  17      239
LAMC1       0859  18      197
LAMC1       0859  19      241
LAMC1       0859  20      248
LAMC1       0859  21      293
LAMC1       0859  22      310
LAMC1       0859  23      296
LAMC1       0859  24      245
LAMC1       0859  25      278
LAMC1       0859  26      248
LAMC1       0859  27      274
LAMC1       0859  28      291
LAMC1       0859  29      287
LAMC1       0859  30      299
LAMC1       0859  31      274
LAMC1       0959   1      309
LAMC1       0959   2      225
LAMC1       0959   3      220
LAMC1       0959   4      216
LAMC1       0959   5      251
LAMC1       0959   6      278
LAMC1       0959   7      253
LAMC1       0959   8      241
LAMC1       0959   9      271
LAMC1       0959  10      238
LAMC1       0959  11       77
LAMC1       0959  12       16
LAMC1       0959  13       13
LAMC1       0959  14       13
LAMC1       0959  15       10
LAMC1       0959  16        4
LAMC1       0959  17      116
LAMC1       0959  18       54
LAMC1       0959  19       16
LAMC1       0959  20        1
LAMC1       0959  21        1
LAMC1       0959  22        1
LAMC1       0959  23        1
LAMC1       0959  24        0
LAMC1       0959  25        0
LAMC1       0959  26        0
LAMC1       0959  27        0
LAMC1       0959  28        0
LAMC1       0959  29        0
LAMC1       0959  30        1
            1059   1       6.
            1059   2       6.
            1059   3       7.
            1059   4       7.
            1059   5       7.
            1059   6       7.
            1059   7       7.
            1059   8      18.
            1059   9       8.
            1059  10       8.
            1059  11       7.
            1059  12       7.
            1059  13       6.
            1059  14       6.
            1059  15       6.
            1059  16       6.
            1059  17       6.
            1059  18       6.
            1059  19       6.
            1059  20       6.
            1059  21       5.
            1059  22       5.
            1059  23       5.
            1059  24       4.
            1059  25       4.
            1059  26       4.
            1059  27       4.
            1059  28       4.
            1059  29       4.
            1059  30       4.
            1059  31       4.
            1159   1       4.
            1159   2       6.
            1159   3      25.
            1159   4     172.
            1159   5     184.
            1159   6     188.
            1159   7     194.
            1159   8     174.
            1159   9     209.
            1159  10     181.
            1159  11     198.
            1159  12     222.
            1159  13     229.
            1159  14     202.
            1159  15     206.
            1159  16     208.
            1159  17     216.
            1159  18     231.
            1159  19     202.
            1159  20     197.
            1159  21     217.
            1159  22     214.
            1159  23     199.
            1159  24     200.
            1159  25     129.
            1159  26     115.
            1159  27     118.
            1159  28     122.
            1159  29      98.
            1159  30      82.
            1259   1      55.
            1259   2      34.
            1259   3      27.
            1259   4      26.
            1259   5      23.
            1259   6      23.
            1259   7      23.
            1259   8      24.
            1259   9      24.
            1259  10      23.
            1259  11      23.
            1259  12      54.
            1259  13      29.
            1259  14      25.
            1259  15      24.
            1259  16      24.
            1259  17      24.
            1259  18      24.
            1259  19      24.
            1259  20      24.
            1259  21      24.
            1259  22      66.
            1259  23      48.
            1259  24      81.
            1259  25      60.
            1259  26      36.
            1259  27      35.
            1259  28      34.
            1259  29      32.
            1259  30      32.
            1259  31      37.
             160   1      36.
             160   2      40.
             160   3      36.
             160   4      40.
             160   5      39.
