Name,MeanAnnPrismPrcp81_10_v07122019_mm,prism_in,wy81_10_calb_in,prism_adj,scale_wint,scale_summ,scale_paf
ACSC1HOF,534.675132,21.05,20.15,1.0474,1.15,1.09,-0.103
ADLC1LOF,468.736387,18.45,17.67,1.0489,1.17,1.15,-0.121
ADOC1LOF,461.330007,18.16,20.60,0.8819,1.34,1.09,-0.458
AHOC1HOF,610.453278,24.03,23.84,1.0121,1.12,1.03,-0.108
AKYC1HLF,1128.904395,44.45,48.23,0.9298,0.97,1.05,-0.04
AKYC1HUF,1289.390252,50.76,50.14,1.0218,1.06,1.09,-0.038
ALQC1HOF,593.242649,23.36,19.35,1.2135,1.03,1.08,0.183
ALRC1HOF,1074.609091,42.31,46.28,0.9220,,,
ANDC1LOF,601.319574,23.67,23.98,0.9914,1.23,1.03,-0.238
ANTC1HOF,703.479499,27.7,28.60,0.9763,,,
APCC1LOF,907.770265,35.74,38.14,0.9495,1.06,1.02,-0.111
ARCC1LOF,1793.025159,70.59,62.62,1.1285,1.01,1.02,0.118
AROC1LOF,566.568359,22.31,23.36,0.9619,1.13,1.06,-0.168
AVYC1LLF,1312.255555,51.66,55.66,0.9349,,,
AVYC1LMF,1394.799057,54.91,50.89,1.0869,,,
AWEC1LOF,550.403637,21.67,24.14,0.8995,1.36,1.1,-0.461
BCAC1LLF,592.888193,23.34,30.17,0.7858,1.59,1.16,-0.804
BCAC1LUF,619.483726,24.39,31.64,0.7829,1.6,1.26,-0.817
BCKC1HOF,592.918279,23.34,24.63,0.9534,1.1,1.04,-0.147
BDBC1LOF,997.822692,39.28,36.72,1.0669,1.03,1.03,0.037
BHNC1HOF,700.833023,27.59,28.57,0.9691,1.12,1.03,-0.151
BKCC1HLF,1617.990709,63.7,64.28,0.9942,1.08,1.07,-0.086
BKCC1HUF,1821.562608,71.72,66.14,1.0880,0.96,0.98,0.128
BLBC1LLF,752.141295,29.61,28.95,1.0209,1.01,1.12,0.011
BLBC1LUF,1306.007822,51.42,55.76,0.9231,1.26,1.1,-0.337
BLKC1HOF,2359.372716,92.89,72.85,1.2765,0.89,1.03,0.386
BNCC1HOF,456.570719,17.98,18.88,0.9579,1.33,1.11,-0.372
BOYO3LLF,580.277525,22.85,24.70,0.9318,1.17,1.17,-0.238
BOYO3LUF,1122.58537,44.2,43.63,1.0215,1.65,1.26,-0.629
BPRC1HLF,396.535674,15.61,19.14,0.8200,1.21,0.98,-0.39
BPRC1HUF,793.696405,31.25,31.87,0.9877,1.24,1.08,-0.252
BRDC1LOF,431.815995,17,16.99,1.0087,1.26,1.07,-0.251
BRGC1HOF,1753.428547,69.03,61.78,1.1188,0.92,0.93,0.199
BSCC1HOF,1197.579242,47.15,48.31,0.9832,,,
BSRC1HOF,1128.772375,44.44,46.80,0.9584,1.28,1.09,-0.322
BTEC1HOF,1200.519358,47.26,44.95,1.0591,1.17,1,-0.111
BTYO3HLF,409.953948,16.14,17.26,0.9360,1.33,1.14,-0.394
BTYO3HUF,652.350709,25.68,25.57,1.0085,1.57,1.28,-0.561
BURC1LLF,1151.758297,45.34,50.05,0.9121,1.01,1.07,-0.098
BURC1LUF,1673.306089,65.88,63.23,1.0479,1.18,1.1,-0.132
BWKC1HOF,1855.509022,73.05,67.31,1.0964,0.99,1.04,0.106
CADC1HOF,645.493707,25.41,28.06,0.9123,,,
CBAC1LLF,1218.655183,47.98,52.51,0.9213,1.2,1.12,-0.279
CBAC1LUF,1269.002346,49.96,50.70,0.9934,1.01,1.18,-0.017
CCHC1LOF,781.570137,30.77,25.54,1.2038,1,0.98,0.204
CDLC1LOF,1225.4251,48.25,41.06,1.1820,0.97,1.03,0.212
CEGC1LLF,1344.871498,52.95,54.01,0.9817,0.95,0.97,0.032
CEGC1LUF,1840.331645,72.45,72.67,0.9992,0.93,0.98,0.069
CEMC1HLF,824.495702,32.46,39.57,0.8266,1.15,1.45,-0.323
CEMC1HUF,1159.792804,45.66,47.22,0.9750,1.15,1.26,-0.175
CFWC1LOF,1062.346352,41.82,42.62,0.9870,1.21,1.06,-0.223
CHLC1LOF,401.875946,15.82,16.71,0.9551,1.14,1.02,-0.185
CHSO3LLF,451.206215,17.76,20.48,0.8705,1.41,1.08,-0.539
CHSO3LUF,686.453989,27.03,25.25,1.0765,1.55,1.23,-0.474
CHVC1HLF,1237.968124,48.74,47.97,1.0319,1.16,1.05,-0.128
CHVC1HMF,1318.78995,51.92,49.90,1.0567,1.1,1.03,-0.043
CHVC1HUF,1586.422316,62.46,60.33,1.0513,1.17,1.13,-0.119
CKEC1HLF,403.100714,15.87,15.68,1.0115,1.36,1.11,-0.348
CKEC1HUF,502.872901,19.8,20.05,0.9886,1.53,1.19,-0.541
CLKC1LOF,938.359157,36.94,38.32,0.9680,1.13,1.07,-0.162
CLLC1HOF,454.749197,17.9,16.56,1.0827,1.09,1.01,-0.007
CMIC1LOF,491.538505,19.35,24.13,0.8063,,,
CMPC1HLF,1098.102636,43.23,44.87,0.9712,1.11,1,-0.139
CMPC1HMF,1378.918488,54.29,53.32,1.0270,,,
CMPC1HUF,1472.240838,57.96,57.42,1.0185,1.07,1.02,-0.051
CNBC1LLF,389.862987,15.35,16.62,0.9239,1.26,1.24,-0.336
CNBC1LUF,629.063363,24.77,23.80,1.0416,1.34,1.4,-0.299
COTC1HLF,1036.149305,40.79,40.80,0.9992,1.07,1.08,-0.071
COTC1HUF,1486.784351,58.53,61.23,0.9550,1.12,1.16,-0.165
COYC1HOF,584.118736,23,24.85,0.9336,1.15,1.03,-0.217
CREC1HOF,2753.915823,108.42,109.80,0.9920,1.11,1.17,-0.118
CSKC1LOF,559.593259,22.03,23.78,0.9286,1.1,1.05,-0.171
CTIC1HOF,888.353204,34.97,36.42,0.9647,1.25,1.18,-0.285
CVQC1LOF,561.660381,22.11,26.12,0.8482,1.47,1.14,-0.622
CWAC1HLF,934.370207,36.79,38.08,0.9647,1.09,1.05,-0.125
CWAC1HUF,1566.044959,61.66,56.68,1.0877,1.04,1.12,0.048
CWCC1HLF,1186.798624,46.72,44.30,1.0565,1.03,1.11,0.027
CWCC1HUF,1429.967901,56.3,60.69,0.9306,1.22,1.32,-0.289
CYBC1HOF,400.63441,15.77,14.30,1.1013,0.85,0.96,0.251
CYEC1LOF,511.763929,20.15,24.13,0.8396,1.26,1.07,-0.42
DCMC1LOF,410.651072,16.17,14.10,1.1523,1.53,1.17,-0.378
DCSC1HOF,1370.299032,53.95,51.29,1.0565,1.1,1.1,-0.044
DCVC1HLF,1412.655861,55.62,52.04,1.0710,1.03,1.02,0.041
DCVC1HUF,1564.957745,61.61,49.32,1.2501,0.93,0.96,0.32
DCWC1HOF,839.672916,33.06,32.59,1.0207,1.3,1.07,-0.279
DEPC1HLF,353.740329,13.93,11.13,1.2469,0.95,1,0.297
DEPC1HUF,538.687898,21.21,15.61,1.3535,1.18,1,0.173
DIXN2HLF,305.405803,12.02,11.74,1.0336,1.15,1.27,-0.116
DIXN2HUF,645.305569,25.41,25.15,1.0198,1.66,1.6,-0.64
DKHC1HOF,559.392082,22.02,35.13,0.6262,1.82,1,-1.194
DLMC1HLF,650.927709,25.63,27.17,0.9462,1.34,1.07,-0.394
DLMC1HUF,1000.466992,39.39,40.79,0.9690,1.46,1.04,-0.491
DLTC1HLF,1709.431193,67.3,61.26,1.0969,1.04,1,0.057
DLTC1HUF,1590.038871,62.6,53.84,1.1613,1.08,1,0.081
DMCC1HOF,1355.295654,53.36,55.98,0.9587,1.1,1,-0.141
DNRC1HOF,1190.951403,46.89,48.74,0.9756,0.98,1.09,-0.004
DOSC1HLF,1388.26513,54.66,56.62,0.9659,1.15,1.06,-0.184
DOSC1HUF,1876.058045,73.86,72.55,1.0194,1.25,1.05,-0.231
DRYC1HOF,478.187501,18.83,18.93,0.9984,1.32,1.08,-0.322
DSNC1HOF,418.114212,16.46,17.45,0.9476,1.36,1.08,-0.412
DVGN2HLF,323.309958,12.73,14.00,0.9130,1.29,1.42,-0.377
DVGN2HUF,603.602641,23.76,22.51,1.0599,1.37,1.56,-0.31
DVSC1HOF,751.18134,29.57,29.67,1.0059,,,
EDCC1HLF,849.149403,33.43,36.01,0.9254,1.19,1.19,-0.265
EDCC1HUF,1188.840004,46.8,55.64,0.8385,1.49,1.36,-0.651
EDOC1HLF,1140.959998,44.92,47.18,0.9612,1.2,1.04,-0.239
EDOC1HUF,1384.64159,54.51,51.36,1.0709,0.95,1.12,0.121
EFBC1HOF,565.835324,22.28,23.78,0.9391,,,
ELPC1HOF,557.081514,21.93,22.32,0.9824,1.18,1,-0.198
EPRC1HOF,839.827393,33.06,25.47,1.2994,0.85,0.97,0.45
ESRC1HOF,372.701139,14.67,13.92,1.0566,1.05,1.03,0.007
ETTC1HOF,2405.511298,94.71,77.86,1.2133,1.28,1.19,-0.067
EWSN2LLF,261.782528,10.31,14.35,0.7240,1.51,1.09,-0.786
EWSN2LUF,482.249013,18.99,20.10,0.9528,1.49,1.1,-0.537
EXQC1LLF,888.308384,34.97,33.45,1.0561,1.13,1.04,-0.074
EXQC1LMF,1135.605594,44.71,42.39,1.0659,1.09,1.04,-0.024
EXQC1LUF,1387.027849,54.61,47.13,1.1707,1.05,1.02,0.121
FARC1LLF,618.490229,24.35,30.23,0.8178,1.36,1.16,-0.542
FARC1LUF,958.3026,37.73,40.80,0.9358,1.36,1.12,-0.424
FHDC1HOF,481.891097,18.97,18.96,1.0097,,,
FMDC1HOF,1687.885031,66.45,58.79,1.1368,1.04,1.07,0.097
FMWC1LOF,550.270844,21.66,21.98,0.9909,1.02,1.02,-0.029
FOCC1HOF,1804.604191,71.05,68.89,1.0395,1.16,1.05,-0.121
FOLC1LOF,946.425895,37.26,37.49,1.0007,1.14,1.04,-0.139
FRAC1HLF,795.400202,31.31,28.94,1.0873,1.04,1.03,0.047
FRAC1HMF,1051.547063,41.4,39.83,1.0558,1.09,1.03,-0.034
FRAC1HUF,1154.880345,45.47,42.90,1.0767,1.11,1.03,-0.033
FRGC1HOF,498.15144,19.61,22.14,0.8895,1.5,1.13,-0.61
FRNC1LOF,1523.701737,59.99,58.80,1.0211,1.05,0.97,-0.029
FSNC1LOF,345.448533,13.6,13.71,0.9876,1.24,1,-0.252
FTBC1HOF,1292.946215,50.9,48.68,1.0481,1.01,1.04,0.038
FTDC1LOF,2172.111366,85.52,85.38,1.0062,1.1,1.27,-0.094
FTJC1HLF,709.778626,27.94,26.06,1.0765,0.99,1.03,0.087
FTJC1HUF,1341.186382,52.8,36.94,1.4355,0.9,1.39,0.536
FTSC1LLF,1541.33107,60.68,57.43,1.0572,1.03,0.98,0.027
FTSC1LUF,1959.220686,77.13,67.05,1.1511,1.15,0.99,0.001
GARC1LOF,481.603248,18.96,19.63,0.9644,1.18,1.04,-0.216
GERO3HLF,449.005329,17.68,20.46,0.8658,1.55,1.21,-0.684
GERO3HUF,521.468306,20.53,22.13,0.9281,1.56,1.25,-0.632
GEYC1LOF,1150.507478,45.3,46.03,0.9906,,,
GRCC1HOF,1494.40279,58.83,44.08,1.3396,0.91,1,0.43
GRDN2LLF,569.964892,22.44,21.89,1.0345,1.22,1.03,-0.186
GRDN2LUF,653.701428,25.74,35.01,0.7419,1.68,1.11,-0.938
GSJC1LOF,479.965366,18.9,20.44,0.9315,0.93,0.99,0.001
GSRC1HOF,1474.626667,58.06,50.25,1.1592,1.03,1.05,0.129
GUAC1HOF,1002.145833,39.45,44.06,0.9030,,,
GUDC1LOF,592.974502,23.35,25.75,0.9137,1.14,1.03,-0.226
GUEC1LOF,1231.902317,48.5,50.50,0.9650,1.04,1.01,-0.075
GYRC1HLF,1690.335395,66.55,67.73,0.9947,1.07,1.06,-0.075
GYRC1HUF,1833.147154,72.17,67.57,1.0794,1.1,1.09,-0.021
HAPC1HLF,1700.622962,66.95,63.16,1.0583,1.03,0.94,0.028
HAPC1HUF,2168.649699,85.38,69.97,1.2183,1.06,0.96,0.158
HAWC1HOF,513.968615,20.23,27.80,0.7301,1.58,1,-0.85
HCHC1HOF,756.685147,29.79,27.55,1.0868,1.1,1,-0.013
